"districts","risk_classes","total_frequency","total_area_sq_m","total_area_sq_km","percentage_risk"
"Kaski","Low",40114,401140000,401.14,28.4095496427029
"Kathmandu","Low",6579,65790000,65.79,26.077133457529
"Khotang","Low",49142,491420000,491.42,25.2325987389349
"Lalitpur","Low",13408,134080000,134.08,24.9191539976954
"Lamjung","Low",41182,411820000,411.82,25.9582595321689
"Mahottari","Low",4550,45500000,45.5,10.6447688564477
"Makawanpur","Low",85383,853830000,853.83,23.3531263590041
"Manang","Low",3776,37760000,37.76,35.8390280941534
"Morang","Low",18462,184620000,184.62,18.0180356027483
"Mugu","Low",34534,345340000,345.34,35.9265115891973
"Mustang","Low",2456,24560000,24.56,34.5477563651709
"Myagdi","Low",48523,485230000,485.23,30.4358734718711
"Nawalpur","Low",42608,426080000,426.08,21.698699341013
"Nuwakot","Low",38725,387250000,387.25,26.9252697741684
"Okhaldhunga","Low",34182,341820000,341.82,28.1620748747693
"Palpa","Low",68494,684940000,684.94,26.9504383272739
"Panchthar","Low",44278,442780000,442.78,24.2017119057249
"Parasi","Low",8557,85570000,85.57,18.1692712756922
"Parbat","Low",21938,219380000,219.38,26.7758629107064
"Parsa","Low",18436,184360000,184.36,19.5147768651029
"Pyuthan","Low",51044,510440000,510.44,28.643898497211
"Ramechhap","Low",39325,393250000,393.25,27.3776620555699
"Rasuwa","Low",21060,210600000,210.6,31.4586600941071
"Rautahat","Low",5928,59280000,59.28,10.4168131018486
"Rolpa","Low",68476,684760000,684.76,28.4948608047938
"Rukum East","Low",38215,382150000,382.15,33.3583568292321
"Rukum West","Low",37128,371280000,371.28,29.1680414800848
"Rupandehi","Low",9916,99160000,99.16,18.6167017122259
"Salyan","Low",66197,661970000,661.97,26.6235254845339
"Sankhuwasabha","Low",72859,728590000,728.59,23.8563621658967
"Saptari","Low",5313,53130000,53.13,12.4950024693681
"Sarlahi","Low",9078,90780000,90.78,17.4832447423157
"Sindhuli","Low",82886,828860000,828.86,23.0316940741029
"Sindhupalchok","Low",67264,672640000,672.64,28.5270791806268
"Siraha","Low",5894,58940000,58.94,18.6672578703997
"Solukhumbu","Low",58830,588300000,588.3,28.8900674739975
"Sunsari","Low",7586,75860000,75.86,15.8805920157424
"Surkhet","Low",86526,865260000,865.26,24.5182131168445
"Syangja","Low",48000,4.8e+08,480,28.9383251944294
"Tanahu","Low",70864,708640000,708.64,27.3435148671487
"Taplejung","Low",65310,653100000,653.1,25.8520365752286
"Terhathum","Low",21386,213860000,213.86,27.2808449841821
"Udayapur","Low",63110,631100000,631.1,19.8450382687555
"Achham","Medium",29890,298900000,298.9,12.4419838907736
"Arghakhanchi","Medium",25288,252880000,252.88,11.9583104772353
"Baglung","Medium",25176,251760000,251.76,11.2394864194003
"Baitadi","Medium",21492,214920000,214.92,10.8659602006148
"Bajhang","Medium",23443,234430000,234.43,11.6155084850737
"Bajura","Medium",23044,230440000,230.44,11.918529475655
"Banke","Medium",5468,54680000,54.68,3.08183083747119
"Bara","Medium",2265,22650000,22.65,2.71354977836348
"Bardiya","Medium",5903,59030000,59.03,4.28035878731627
"Bhaktapur","Medium",620,6200000,6.2,8.71275997751546
"Bhojpur","Medium",22134,221340000,221.34,11.3479758828596
"Chitawan","Medium",17303,173030000,173.03,7.54078070592132
"Dadeldhura","Medium",20994,209940000,209.94,7.84904588143806
"Dailekh","Medium",22896,228960000,228.96,11.4121657993899
"Dang","Medium",29016,290160000,290.16,7.29492452659419
"Darchula","Medium",13309,133090000,133.09,13.1176140115712
"Dhading","Medium",32336,323360000,323.36,12.6908374477037
"Dhankuta","Medium",16102,161020000,161.02,13.0308817816911
"Dhanusha","Medium",2362,23620000,23.62,4.35986414648553
"Dolakha","Medium",20936,209360000,209.36,12.8983766133752
"Dolpa","Medium",10037,100370000,100.37,19.0784846699234
"Doti","Medium",32191,321910000,321.91,9.62399136588268
"Gorkha","Medium",34098,340980000,340.98,13.136644526976
"Gulmi","Medium",21158,211580000,211.58,13.0123001230012
"Humla","Medium",13112,131120000,131.12,16.1132548479858
"Ilam","Medium",32878,328780000,328.78,12.7610190805918
"Jajarkot","Medium",26660,266600000,266.6,11.6347068629933
"Jhapa","Medium",4898,48980000,48.98,8.97299673909061
"Jumla","Medium",32199,321990000,321.99,18.8068384255501
"Kabhrepalanchok","Medium",20760,207600000,207.6,10.9470575827884
"Kailali","Medium",30880,308800000,308.8,7.19156388568022
"Kalikot","Medium",25254,252540000,252.54,12.7041139718089
"Kanchanpur","Medium",5760,57600000,57.6,4.13353618279416
"Kapilbastu","Medium",6322,63220000,63.22,4.87064515631982
"Kaski","Medium",18514,185140000,185.14,13.1119908781224
"Kathmandu","Medium",2297,22970000,22.97,9.10460184708074
"Khotang","Medium",22476,224760000,224.76,11.5405943847686
"Lalitpur","Medium",5432,54320000,54.32,10.0955283797346
"Lamjung","Medium",17987,179870000,179.87,11.3377498471449
"Mahottari","Medium",1124,11240000,11.24,2.6296088339884
"Makawanpur","Medium",33548,335480000,335.48,9.17572213545869
"Manang","Medium",3390,33900000,33.9,32.1753986332574
"Morang","Medium",8042,80420000,80.42,7.84861024359775
"Mugu","Medium",12966,129660000,129.66,13.4888269318797
"Mustang","Medium",3421,34210000,34.21,48.1220987480658
"Myagdi","Medium",17924,179240000,179.24,11.2427631455149
"Nawalpur","Medium",17563,175630000,175.63,8.94419490532792
"Nuwakot","Medium",18421,184210000,184.21,12.808015352097
"Okhaldhunga","Medium",14228,142280000,142.28,11.7222515159504
"Palpa","Medium",30476,304760000,304.76,11.9914380597132
"Panchthar","Medium",19100,1.91e+08,191,10.439782677613
"Parasi","Medium",3809,38090000,38.09,8.08773568880584
"Parbat","Medium",9310,93100000,93.1,11.3630815798467
"Parsa","Medium",4735,47350000,47.35,5.0120670674909
"Pyuthan","Medium",22722,227220000,227.22,12.7506986453575
"Ramechhap","Medium",18702,187020000,187.02,13.0201407695682
"Rasuwa","Medium",8884,88840000,88.84,13.2705952647696
"Rautahat","Medium",2206,22060000,22.06,3.87643213607929
"Rolpa","Medium",24922,249220000,249.22,10.3707710873455
"Rukum East","Medium",15249,152490000,152.49,13.3110449637305
"Rukum West","Medium",14332,143320000,143.32,11.2593290910519
"Rupandehi","Medium",4500,4.5e+07,45,8.44848302793632
"Salyan","Medium",26706,267060000,267.06,10.7407869176845
"Sankhuwasabha","Medium",35427,354270000,354.27,11.5999305844332
"Saptari","Medium",2075,20750000,20.75,4.8799416758778
"Sarlahi","Medium",2874,28740000,28.74,5.53501271088514
"Sindhuli","Medium",33166,331660000,331.66,9.21590094420887
"Sindhupalchok","Medium",29793,297930000,297.93,12.6353959031341
"Siraha","Medium",2810,28100000,28.1,8.89972762399443
"Solukhumbu","Medium",27161,271610000,271.61,13.3381458891934
"Sunsari","Medium",2989,29890000,29.89,6.25719608951412
"Surkhet","Medium",33370,333700000,333.7,9.45580255309503
"Syangja","Medium",22938,229380000,229.38,13.8289021522879
"Tanahu","Medium",31198,311980000,311.98,12.0380302667829
"Taplejung","Medium",34119,341190000,341.19,13.5055219095119
"Terhathum","Medium",11528,115280000,115.28,14.7055822022655
"Udayapur","Medium",26228,262280000,262.28,8.24743564748722
"Achham","Very High",9705,97050000,97.05,4.03979436801465
"Arghakhanchi","Very High",8670,86700000,86.7,4.09991109766017
"Baglung","Very High",7695,76950000,76.95,3.43532920230718
"Baitadi","Very High",7108,71080000,71.08,3.59367416275684
"Bajhang","Very High",8215,82150000,82.15,4.07035798340146
"Bajura","Very High",14344,143440000,143.44,7.41882428392623
"Banke","Very High",1887,18870000,18.87,1.06353598944918
"Bara","Very High",945,9450000,9.45,1.13214328501258
"Bardiya","Very High",1985,19850000,19.85,1.43935493695118
"Bhaktapur","Very High",1402,14020000,14.02,19.7020798201237
"Bhojpur","Very High",9310,93100000,93.1,4.77318403674993
"Chitawan","Very High",9121,91210000,91.21,3.9750020700866
"Dadeldhura","Very High",7794,77940000,77.94,2.91394987138841
"Dailekh","Very High",7242,72420000,72.42,3.60966564985944
"Dang","Very High",10402,104020000,104.02,2.61517110992669
"Darchula","Very High",4204,42040000,42.04,4.14354566869376
"Dhading","Very High",13289,132890000,132.89,5.21550404634259
"Dhankuta","Very High",7916,79160000,79.16,6.40618930467435
"Dhanusha","Very High",696,6960000,6.96,1.28470171293562
"Dolakha","Very High",7717,77170000,77.17,4.75433570526446
"Dolpa","Very High",4272,42720000,42.72,8.12028360166511
"Doti","Very High",9633,96330000,96.33,2.87993255343257
"Gorkha","Very High",13295,132950000,132.95,5.12205082368896
"Gulmi","Very High",8546,85460000,85.46,5.25584255842558
"Humla","Very High",4058,40580000,40.58,4.98685083687664
"Ilam","Very High",14758,147580000,147.58,5.72805887193181
"Jajarkot","Very High",8770,87700000,87.7,3.82732104982936
"Jhapa","Very High",9882,98820000,98.82,18.1035430330121
"Jumla","Very High",11329,113290000,113.29,6.61705868266271
"Kabhrepalanchok","Very High",11582,115820000,115.82,6.10736131617802
"Kailali","Very High",10212,102120000,102.12,2.37824645079554
"Kalikot","Very High",13638,136380000,136.38,6.86064410974616
"Kanchanpur","Very High",2367,23670000,23.67,1.69862502511697
"Kapilbastu","Very High",4036,40360000,40.36,3.1094469868565
"Kaski","Very High",5369,53690000,53.69,3.8024348614367
"Kathmandu","Very High",2406,24060000,24.06,9.53664433786516
"Khotang","Very High",9300,9.3e+07,93,4.77520589866294
"Lalitpur","Very High",2918,29180000,29.18,5.42318700516671
"Lamjung","Very High",6503,65030000,65.03,4.09903748573878
"Mahottari","Very High",306,3060000,3.06,0.715889949466592
"Makawanpur","Very High",12163,121630000,121.63,3.32670526808108
