"predicted_bin","total_bin_area_ha","bin_percentage"
"High",813453.222074007,12.707598847532
"Low",1601098.89904362,25.0120375359707
"Medium",684392.229928616,10.6914345856626
"Very High",260779.087857594,4.07383724889605
"Very Low",3041589.91568001,47.5150917819387
